"","irr_256","irr_284","irr_304","irr_1175","irr_1216","irr_1335","irr_1405","MgII_EXIS","MgII_standard","time.x","xrsa_flux","xrsa_flux_observed","xrsa_flux_electrons","xrsb_flux","xrsb_flux_observed","xrsb_flux_electrons","xrsa_flag","xrsb_flag","xrsa_num","month.y","day.y","hour.y","minute.y","year.y","binary"
"680",6.4532454e-05,1.0743842e-05,0.00042096418,8.535761e-05,0.006237326,0.00017873137,0.00011834824,0.28876328,0.26324874,405736,1e-09,1.12310296e-07,1.1239661e-07,1.5665009e-08,1.755878e-07,1.5992279e-07,4,4,60,10,9,18,16,2018,1
"681",6.4158354e-05,1.0989639e-05,0.00042044942,8.500292e-05,0.0062225307,0.00017857707,0.000117411226,0.2886827,0.2632268,406032,5.44853e-09,7.185409e-08,6.6405555e-08,1.8177406e-08,1.10861215e-07,9.2683806e-08,4,4,59,10,9,23,12,2018,1
"682",6.4661275e-05,1.00638845e-05,0.00042569984,8.490504e-05,0.0063223653,0.00017934106,0.00011746674,0.29064298,0.26376063,412761,5.920633e-09,1.5509713e-08,9.58908e-09,7.4199615e-09,3.9825796e-08,3.2405833e-08,4,4,60,10,14,15,21,2018,1
"683",6.4350854e-05,1.0153664e-05,0.00042574972,8.581215e-05,0.00632368,0.00017988795,0.000117332434,0.2901796,0.26363444,412958,4.2265387e-09,1.4048524e-08,9.821985e-09,4.1701256e-09,3.508628e-08,3.0916155e-08,4,4,60,10,14,18,38,2018,1
"684",6.255182e-05,9.253536e-06,0.00042385355,8.6005544e-05,0.006284711,0.00017923089,0.0001175215,0.29012194,0.2636187,416792,7.059004e-09,4.375485e-08,3.6695845e-08,6.3136496e-09,5.144617e-08,4.5132523e-08,4,4,60,10,17,10,32,2018,1
"685",6.134238e-05,8.78434e-06,0.00042257045,8.438052e-05,0.0061742044,0.00017837728,0.00011718222,0.28819373,0.26309368,427897,6.878089e-09,8.135147e-09,1.2570573e-09,3.6705796e-09,7.0848025e-09,3.414223e-09,0,0,60,10,25,3,37,2018,1
"686",6.154334e-05,8.948236e-06,0.00042231058,8.496038e-05,0.0061492976,0.00017798999,0.00011683469,0.28830752,0.26312464,427910,6.5031993e-09,7.57646e-09,1.0732616e-09,2.9307519e-09,6.1023258e-09,3.171574e-09,0,4,60,10,25,3,50,2018,1
"687",5.9879592e-05,8.611887e-06,0.00041625055,8.583549e-05,0.0062496345,0.0001792033,0.000118010554,0.2878582,0.2630023,448782,1e-09,4.4423075e-08,4.803107e-08,1e-09,6.5894454e-08,6.570383e-08,4,4,60,11,8,15,42,2018,1
"688",5.904473e-05,7.986152e-06,0.000410464,8.5515174e-05,0.0061993124,0.0001778066,0.000117952746,0.28695858,0.26275736,450206,1e-09,3.1930554e-08,3.5781238e-08,1e-09,3.0991455e-08,3.7063455e-08,4,4,59,11,9,15,26,2018,1
"689",5.9296555e-05,8.024019e-06,0.0004123316,8.619849e-05,0.0062058214,0.0001781033,0.0001167063,0.28687838,0.2627355,451902,4.063013e-09,1.4450062e-08,1.03870486e-08,1.7427907e-09,2.8083365e-08,2.6340574e-08,4,4,60,11,10,19,42,2018,1
"690",5.8742826e-05,7.930395e-06,0.00041277916,8.639492e-05,0.006220902,0.00017903527,0.00011803561,0.28765768,0.26294768,452896,7.142155e-09,5.8664504e-08,5.152235e-08,1e-09,7.383074e-08,7.443695e-08,4,4,60,11,11,12,16,2018,1
"691",5.9332142e-05,8.38334e-06,0.00041583832,8.588289e-05,0.006238796,0.00017931007,0.00011745571,0.28734136,0.26286155,453506,1.1717575e-08,6.162971e-08,4.9912135e-08,6.8159944e-09,7.1295325e-08,6.447933e-08,4,4,60,11,11,22,26,2018,1
